item_id,order_id,product_name,category,sales_usd,sales_tier
40,CA-2023-118255,"Xerox 1967","Office Supplies",44.74,"Bronze (< $100)"
34,CA-2022-167200,"Eldon Fold-Up Mobile Desk Accessories","Office Supplies",44.74,"Bronze (< $100)"
60,CA-2020-195725,"Enermax Note Cards","Office Supplies",44.74,"Bronze (< $100)"
51,CA-2022-112244,"Staple envelope","Office Supplies",41.12,"Bronze (< $100)"
52,CA-2021-152156,"Belkin 7-Outlet Metallic Surge Strip",Technology,37.44,"Bronze (< $100)"
43,CA-2021-163265,"DXL Angle-View Binders with Locking Rings","Office Supplies",37.01,"Bronze (< $100)"
15,CA-2020-105893,"Logitech G500s Laser Gaming Mouse",Technology,29.60,"Bronze (< $100)"
55,CA-2022-143336,"Avery 504","Office Supplies",27.76,"Bronze (< $100)"
23,CA-2021-119823,"Avery 506","Office Supplies",26.40,"Bronze (< $100)"
29,CA-2022-100392,"Belkin 7-Outlet Metallic Surge Strip",Technology,24.96,"Bronze (< $100)"
12,CA-2021-115812,"Xerox 1967","Office Supplies",22.37,"Bronze (< $100)"
25,CA-2021-135069,"Enermax Note Cards","Office Supplies",22.37,"Bronze (< $100)"
5,CA-2021-138688,"Eldon Fold-Up Mobile Desk Accessories","Office Supplies",22.37,"Bronze (< $100)"
9,US-2020-108966,"DXL Angle-View Binders with Locking Rings","Office Supplies",18.50,"Bronze (< $100)"
14,CA-2021-115813,"Avery 504","Office Supplies",18.50,"Bronze (< $100)"
37,CA-2021-127180,"Newell 322","Office Supplies",18.20,"Bronze (< $100)"
18,CA-2022-143336,"Staple envelope","Office Supplies",16.45,"Bronze (< $100)"
3,CA-2021-152157,"Self-Adhesive Address Labels","Office Supplies",14.62,"Bronze (< $100)"
7,US-2020-108966,"Newell 322","Office Supplies",7.28,"Bronze (< $100)"
19,CA-2022-143337,"Fiskars 8" Scissors","Office Supplies",4.69,"Bronze (< $100)"
